m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0.1278,362,0.4940,0.0411,0.0394,0,0,4960
1009,1000,H_DIV,271828,0.1020,381,0.5220,0.0378,0.0498,0,0,5958
1009,1000,H_DIV,314159,0.0886,372,0.5120,0.0343,0.0373,0,0,5361
1009,1000,H_MUL,137,0.1836,364,0.4800,0.0837,0.0644,0,1,4716
1009,1000,H_MUL,271828,0.1140,350,0.4750,0.0453,0.0539,0,1,5441
1009,1000,H_MUL,314159,0.0993,371,0.4890,0.0374,0.0441,0,0,5844
1009,1000,H_FOLD,137,0.1662,379,0.5300,0.0804,0.0505,0,0,5968
1009,1000,H_FOLD,271828,0.0755,369,0.5030,0.0314,0.0260,0,0,5904
1009,1000,H_FOLD,314159,0.0742,368,0.4940,0.0261,0.0270,0,0,4854
1009,10000,H_DIV,137,0.6348,8991,4.9577,0.1892,0.4864,0,10,4960
1009,10000,H_DIV,271828,0.7221,8991,4.9464,0.2261,0.6990,0,9,5958
1009,10000,H_DIV,314159,0.8550,8991,4.9549,0.2594,0.7312,0,9,5361
1009,10000,H_MUL,137,0.8522,8991,4.9460,0.3129,0.7851,0,9,4716
1009,10000,H_MUL,271828,0.7585,8991,4.9470,0.2645,0.6147,0,9,5441
1009,10000,H_MUL,314159,0.7871,8991,4.9570,0.3156,0.6765,0,9,5844
1009,10000,H_FOLD,137,0.7489,8991,4.9377,0.2572,0.5619,0,9,5968
1009,10000,H_FOLD,271828,0.8872,8991,4.9202,0.2901,0.8060,0,9,5904
1009,10000,H_FOLD,314159,0.7266,8991,4.9662,0.2620,0.5656,0,9,4854
1009,100000,H_DIV,137,94.8975,98991,49.6094,19.5532,111.5956,0,99,4960
1009,100000,H_DIV,271828,87.8592,98991,49.5707,17.3107,102.6282,0,99,5958
1009,100000,H_DIV,314159,87.1284,98991,49.5540,18.0710,104.8504,0,99,5361
1009,100000,H_MUL,137,85.7406,98991,49.5819,17.3903,104.5547,0,99,4716
1009,100000,H_MUL,271828,84.9867,98991,49.5592,17.8756,102.4805,0,98,5441
1009,100000,H_MUL,314159,86.4329,98991,49.5849,17.5160,105.3897,0,99,5844
1009,100000,H_FOLD,137,85.8513,98991,49.5296,17.5335,103.1837,0,99,5968
1009,100000,H_FOLD,271828,83.1469,98991,49.5416,17.2284,101.0942,0,99,5904
1009,100000,H_FOLD,314159,85.4115,98991,49.5196,17.4567,102.8235,0,99,4854
10007,1000,H_DIV,137,0.0229,49,0.0490,0.0041,0.0041,0,0,58248
10007,1000,H_DIV,271828,0.0226,42,0.0440,0.0041,0.0039,0,0,52055
10007,1000,H_DIV,314159,0.0232,41,0.0420,0.0041,0.0042,0,0,61287
10007,1000,H_MUL,137,0.0249,37,0.0370,0.0051,0.0051,0,0,46808
10007,1000,H_MUL,271828,0.0255,53,0.0550,0.0053,0.0050,0,0,54019
10007,1000,H_MUL,314159,0.0252,56,0.0570,0.0054,0.0050,0,0,58001
10007,1000,H_FOLD,137,0.0320,248,0.3090,0.0081,0.0134,0,0,18076
10007,1000,H_FOLD,271828,0.0326,236,0.2870,0.0069,0.0122,0,0,14985
10007,1000,H_FOLD,314159,0.0238,224,0.2680,0.0055,0.0114,0,0,13935
10007,10000,H_DIV,137,0.2501,3728,0.5038,0.0429,0.1013,0,0,58248
10007,10000,H_DIV,271828,0.2692,3608,0.4893,0.0426,0.0989,0,1,52055
10007,10000,H_DIV,314159,0.2668,3611,0.4881,0.0426,0.0967,0,0,61287
10007,10000,H_MUL,137,0.3594,3670,0.4951,0.0833,0.1519,0,0,46808
10007,10000,H_MUL,271828,0.3595,3755,0.5177,0.0857,0.1545,0,1,54019
10007,10000,H_MUL,314159,0.3422,3695,0.5006,0.0786,0.1457,0,0,58001
10007,10000,H_FOLD,137,0.4972,7874,2.8566,0.1599,0.3013,0,5,18076
10007,10000,H_FOLD,271828,0.4918,7856,2.7832,0.1566,0.3057,0,5,14985
10007,10000,H_FOLD,314159,0.4961,7867,2.8525,0.1581,0.3020,0,5,13935
10007,100000,H_DIV,137,7.8724,89994,5.0015,1.9497,8.7513,0,10,58248
10007,100000,H_DIV,271828,8.4170,89993,4.9898,2.2688,10.0844,0,10,52055
10007,100000,H_DIV,314159,8.2308,89993,4.9960,2.1210,9.7136,0,9,61287
10007,100000,H_MUL,137,8.7414,89995,4.9964,2.5407,9.8385,0,9,46808
10007,100000,H_MUL,271828,8.7465,89993,5.0028,2.4591,9.3501,0,9,54019
10007,100000,H_MUL,314159,9.0643,89993,4.9847,2.4955,10.1013,0,9,58001
10007,100000,H_FOLD,137,52.0440,97342,28.4354,10.6464,61.1052,0,56,18076
10007,100000,H_FOLD,271828,47.3839,97333,28.3369,9.8756,58.2430,0,56,14985
10007,100000,H_FOLD,314159,48.2436,97338,28.2806,10.5851,59.9448,0,56,13935
100003,1000,H_DIV,137,0.0075,2,0.0020,0.0019,0.0018,0,0,453407
100003,1000,H_DIV,271828,0.0067,4,0.0040,0.0017,0.0015,0,0,499757
100003,1000,H_DIV,314159,0.0068,2,0.0020,0.0017,0.0015,0,0,507754
100003,1000,H_MUL,137,0.0076,4,0.0040,0.0023,0.0021,0,0,467797
100003,1000,H_MUL,271828,0.0072,1,0.0010,0.0022,0.0020,0,0,539863
100003,1000,H_MUL,314159,0.0076,7,0.0070,0.0023,0.0021,0,0,579674
100003,1000,H_FOLD,137,0.0171,248,0.3090,0.0057,0.0114,0,0,18076
100003,1000,H_FOLD,271828,0.0152,236,0.2870,0.0055,0.0111,0,0,14985
100003,1000,H_FOLD,314159,0.0155,224,0.2680,0.0055,0.0111,0,0,13935
100003,10000,H_DIV,137,0.0832,465,0.0480,0.0300,0.0327,0,0,453407
100003,10000,H_DIV,271828,0.1733,516,0.0529,0.0407,0.0439,0,0,499757
100003,10000,H_DIV,314159,0.1041,479,0.0499,0.0247,0.0303,0,0,507754
100003,10000,H_MUL,137,0.1007,501,0.0521,0.0330,0.0409,0,0,467797
100003,10000,H_MUL,271828,0.1221,465,0.0486,0.0376,0.0465,0,0,539863
100003,10000,H_MUL,314159,0.1056,499,0.0516,0.0394,0.0404,0,0,579674
100003,10000,H_FOLD,137,0.4058,7874,2.8566,0.1620,0.3036,0,5,18076
100003,10000,H_FOLD,271828,0.4095,7856,2.7832,0.1609,0.3196,0,5,14985
100003,10000,H_FOLD,314159,0.4054,7867,2.8525,0.1579,0.2975,0,5,13935
100003,100000,H_DIV,137,2.1649,36705,0.4982,0.6620,1.3751,0,1,453407
100003,100000,H_DIV,271828,2.3248,36534,0.4971,0.6583,1.5945,0,0,499757
100003,100000,H_DIV,314159,2.0261,36766,0.5010,0.5809,1.3948,0,1,507754
100003,100000,H_MUL,137,3.0444,36960,0.5033,0.9334,2.0503,0,0,467797
100003,100000,H_MUL,271828,3.3853,36847,0.5012,0.9156,2.3055,0,1,539863
